"Format","MoTeC CSV File",,,"Workbook","LMP3"
"Venue","BAR",,,"Worksheet","KPIs"
"Vehicle","LPM3",,,"Vehicle Desc",""
"Driver","ChassisSim",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","28/02/2021",,,"Origin Time","0.400","s"
"Log Time","14:37:00",,,"Start Time","0.400","s"
"Sample Rate","50.000","Hz",,"End Time","101.020","s"
"Duration","100.620","s",,"Start Distance","26","m"
"Range","Lap 1",,,"End Distance","4530","m"
"Beacon Markers","00.000  "


"Time","Engine RPM","G Force Lat","G Force Long","Steered Angle","Throttle Pos","Combined Acceleration","ROLL_SPEED_F","ROLL_SPEED_R","ROLL_ratio","Damper Pos FL","Damper Pos FR","Damper Pos RL","Damper Pos RR","Corr Speed"
"s","rpm","G","G","deg","%","","","","","mm","mm","mm","mm","km/h"


"0.000","6747.00","0.15","0.17","-0.24","100.60","0.23","-14.16","-1.56","0.02","7.85","7.82","26.33","24.93","232.0"
"0.020","6743.00","0.04","-0.01","-0.24","100.50","0.04","8.85","4.16","0.14","7.92","7.74","26.24","24.76","234.0"
"0.040","6747.00","0.02","0.10","-0.26","100.50","0.10","5.31","-7.28","0.23","7.92","7.65","26.07","24.73","232.4"
"0.060","6757.00","-0.04","0.23","-0.27","100.40","0.23","11.80","5.72","0.37","8.01","7.54","25.85","24.40","231.6"
"0.080","6764.00","-0.05","-0.03","-0.24","100.50","0.06","23.60","3.12","0.65","8.32","7.45","25.85","24.34","234.4"
"0.100","6766.00","-0.01","0.04","-0.24","100.60","0.04","11.80","4.16","0.76","8.51","7.44","25.71","24.12","232.8"
"0.120","6766.00","0.02","0.18","-0.24","100.50","0.18","-32.45","6.24","0.35","8.08","7.56","25.07","23.36","232.4"
"0.140","6763.00","0.12","0.02","-0.24","100.50","0.12","-31.27","-6.76","-0.01","7.55","7.56","24.93","23.35","234.0"
"0.160","6770.00","0.17","-0.03","-0.26","100.60","0.17","9.44","-2.08","0.11","7.62","7.47","24.93","23.39","234.0"
"0.180","6772.00","0.12","0.12","-0.26","100.60","0.17","2.95","9.36","0.13","7.81","7.61","25.37","23.65","233.6"
"0.200","6768.00","0.10","0.06","-0.23","100.50","0.12","-10.03","-4.68","0.02","7.64","7.61","25.40","23.77","233.2"
"0.220","6786.00","0.16","-0.01","-0.24","100.50","0.16","-3.54","-8.84","-0.02","7.71","7.74","25.53","24.07","234.4"
"0.240","6792.00","0.05","0.10","-0.24","100.50","0.11","-0.59","-0.00","-0.03","7.94","7.98","25.53","24.07","234.8"
"0.260","6787.00","0.02","0.23","-0.24","100.50","0.23","0.59","1.56","-0.02","7.90","7.93","25.71","24.22","233.2"
"0.280","6786.00","-0.04","0.05","-0.26","100.50","0.06","7.08","-3.12","0.07","8.02","7.93","25.88","24.45","234.4"
"0.300","6785.00","-0.03","0.16","-0.23","100.60","0.16","7.67","-6.24","0.19","8.15","7.93","25.77","24.46","236.0"
"0.320","6801.00","-0.07","0.30","-0.24","100.40","0.31","14.16","-3.12","0.42","8.30","7.84","25.79","24.54","233.2"
"0.340","6806.00","-0.02","0.07","-0.26","100.50","0.07","-16.52","-0.52","0.16","8.02","7.84","25.79","24.55","234.0"
"0.360","6805.00","0.06","0.14","-0.24","100.50","0.15","1.18","-5.20","0.20","8.25","8.05","25.77","24.63","236.0"
"0.380","6809.00","0.16","0.25","-0.26","100.40","0.30","2.36","1.04","0.23","8.29","8.05","25.85","24.69","234.0"
"0.400","6804.00","0.16","0.16","-0.26","100.60","0.23","-1.18","-3.12","0.23","8.41","8.19","25.95","24.85","233.2"
"0.420","6806.00","0.11","0.07","-0.23","100.50","0.13","4.13","6.24","0.27","8.57","8.28","26.12","24.90","235.6"
"0.440","6812.00","0.13","0.14","-0.24","100.60","0.19","-10.62","-0.00","0.10","8.25","8.14","26.22","25.00","234.8"
"0.460","6816.00","0.09","0.25","-0.26","100.60","0.27","39.53","3.12","0.69","8.64","7.86","26.28","25.00","233.6"
"0.480","6819.00","0.04","0.05","-0.24","100.50","0.06","15.34","-17.16","1.24","8.69","7.65","25.92","24.97","235.6"
"0.500","6821.00","-0.04","0.12","-0.26","100.50","0.13","-17.70","27.04","0.57","8.41","7.67","25.92","24.45","236.0"
"0.520","6829.00","0.01","0.28","-0.24","100.50","0.28","-28.91","7.28","0.18","8.20","7.95","25.11","23.50","234.8"
"0.540","6831.00","0.04","0.09","-0.23","100.60","0.10","-2.95","-3.64","0.15","8.39","8.19","24.93","23.39","235.2"
"0.560","6821.00","0.10","0.00","-0.26","100.60","0.10","-2.36","-0.00","0.12","8.37","8.21","25.22","23.68","236.9"
"0.580","6832.00","0.11","0.25","-0.26","100.50","0.27","21.24","7.80","0.35","8.64","8.12","26.06","24.37","235.6"
"0.600","6837.00","0.12","0.16","-0.24","100.60","0.20","2.95","-8.32","0.42","8.48","7.91","26.22","24.69","235.2"
"0.620","6837.00","0.08","-0.07","-0.24","100.50","0.11","20.65","1.56","0.67","8.83","7.91","26.53","24.97","236.9"
"0.640","6842.00","0.00","0.21","-0.24","100.40","0.21","-15.34","-0.00","0.48","8.69","8.03","26.53","24.97","236.9"
"0.660","6848.00","-0.11","0.21","-0.24","100.50","0.24","12.39","-8.32","0.71","8.90","8.03","25.97","24.57","235.2"
"0.680","6853.00","-0.07","-0.02","-0.26","100.50","0.07","-16.52","0.52","0.47","8.64","8.05","25.92","24.51","236.0"
"0.700","6846.00","-0.08","0.09","-0.23","100.50","0.12","-21.24","-2.60","0.19","8.30","8.07","25.70","24.34","237.7"
"0.720","6861.00","-0.01","0.21","-0.23","100.50","0.21","-2.36","2.60","0.15","8.15","7.96","25.65","24.24","235.2"
"0.740","6861.00","0.05","0.00","-0.24","100.50","0.05","15.93","1.04","0.36","8.46","8.00","25.64","24.21","236.9"
